"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","-0.029490742805089","-0.146840614496856","175","112","0.0209220190469337","0.0179243810814932","0.216775362302042","0.0033499303755772","-0.196866402068643","0.00120273676060528","0.0797689511404552","0.320663713747985"
"Aleck_Rock","0.126863209722763","-0.10448556796116","43","16","0.0594932874402982","-0.00962549745410055","0.472323052821946","-0.0106458633276539","-0.160483234953762","0.290740243535073","-0.134865129621509","0.434539872873725"
"Barren_Island","-0.0492133539444319","-0.00745889128078288","20","13","0.787175093613596","-0.36012330765252","0.276614382325222","0.0352841031261004","-0.177089394874539","0.106803680133978","-0.048605104107038","0.473352100108316"
"Battleship_Island","0.0910146708640205","-0.155675384621416","42","24","0.0318285203813054","0.0221604725690899","0.471219638401782","0.0257382040602451","-0.238220315404618","0.0365901935556782","0.0170340230096627","0.510883015920064"
"Blind_Island","0.0779862441813716","-0.00332341382765405","36","11","0.593591815272849","-0.228306616805538","0.390925932823589","-0.00177410662744658","-0.0403018990431955","0.737316471184868","-0.193497157590507","0.270552742422005"
"Boulder_Island","0.120120733327061","-0.130764856206733","46","18","0.0383777189979778","0.0138657485855539","0.487905430482035","-0.00163563267390862","-0.205110614385036","0.0296686019463983","0.0207442670368503","0.386205696385405"
"Broken_Point_Island","0.159729945142432","-0.0549455032980061","26","12","0.135925357073523","-0.071518329439349","0.500869226320224","0.000165887601589551","-0.0689531812401139","0.641948420581263","-0.232309182331796","0.370547320015203"
"Buck_Island","0.00415608642949901","-0.478625247349098","10","7","0.00429486707760797","0.178945249396362","0.786617418160831","6.93889390390723e-17","-0.51027539049948","0.0127515694075044","0.125523386442332","0.895027394556627"
"Castle_Island","-0.0360540831537006","-0.106298491082604","67","19","0.4720251934226","-0.12629078751605","0.266779603373858","-0.00912830211423937","-0.380068980982848","0.00014095351630212","0.186777078376878","0.55510427936034"
"Cemetery_Island","0.00129459205267352","-0.547236742437204","21","5","0.226214735284936","-0.491390446777881","1.58845311575764","1.96284477593525e-16","-0.301430462611467","0.0233881258177835","0.0447175669533241","0.55814335826961"
"Charles_Island","0.0051531453119043","-0.29632765660049","60","38","0.00911842822922833","0.0772426057832868","0.525718998041501","0.0135163596740954","-0.477199715144389","4.41934709439262e-06","0.291309243060375","0.690122906576593"
"Cliff_Island","0.00247188688581639","-0.0875766238339974","60","25","0.409093988123861","-0.126534352012806","0.306631373452433","-0.000390705687879311","-0.352246863530842","0.00165550895057637","0.136681593498073","0.567030722187852"
"Colville_Island","-0.0944998767919447","-0.185659054297378","20","17","0.40016621673863","-0.127223746082256","0.309542101093122","0.00917346779061345","-0.307532374471785","0.0111867439877054","0.0766713108145389","0.556740373710259"
"Coon_Island","0.144829133977151","-0.19799372448519","40","32","0.00701121078703108","0.0968213663073875","0.588824350617295","0.026823804194815","-0.355515099789975","0.000885502100337172","0.163368657470007","0.601309150499573"
"Crab_Island","0.0969100130080564","-0.189245274470736","2","4","0.101040393767493","-0.102694045854458","0.675004620812042","0.0646066753387043","-0.189245274470736","0.105403621006182","-0.0980543772941156","0.605758276912996"
"Deadman_Island","0.110844193322843","-0.0807452560849154","37","16","0.182565130383957","-0.0931439254313954","0.476322824246912","0.00641402813414862","-0.285002612081652","0.0178324456816842","0.0524619664271787","0.530371314004422"
"Dot_Island","0.0574661422151373","-0.0474851929681515","45","26","0.366758083884688","-0.125637469134508","0.335540139501086","0.0178843559694911","-0.328893537833814","0.00159327460376099","0.136332547663558","0.557223239943051"
"Dotlet_Island","0.0138524992581921","-0.359475642331702","12","9","0.00825422081824215","0.11386003941314","0.632796243766648","0.0370131672726255","-0.314228623278484","0.0118538247842596","0.0913754966459842","0.611108084456235"
"East_Sucia_1_Island","0.00334063601655507","-0.212883565628628","24","16","0.135645361302441","-0.0709100382813761","0.503358441571743","0.00150051909020249","-0.215753893615983","0.0658412377415254","-0.0149446973268138","0.449453522739186"
"East_Sucia_2_Island","0.0342079540527251","0.0293321265341495","22","14","0.975915617038393","-0.32114628146392","0.330897936501072","3.75429643181571e-17","-0.070416349171127","0.54727582387553","-0.165055953543338","0.305888651885592"
"East_Sucia_3_Island","0.107927332432846","0.0328063463105317","16","14","0.603557013811594","-0.217897684954028","0.368139657198657","0.0139560641113692","-0.061850880968212","0.561224787688565","-0.188523481284607","0.340137371443769"
"East_Sucia_4_Island","0.0213482850449424","-0.360063941983004","31","9","0.0318686386760364","0.0352745292732921","0.7275499247826","0.00502532242947488","-0.293699396779436","0.0708787796061297","-0.0274908081429983","0.62494024656082"
"East_Sucia_6_Island","-0.0181902079951716","-0.254112303767657","27","11","0.131548223790684","-0.0745945962285231","0.546438787773494","1.12825039546998e-16","-0.247415824098597","0.0868410757459699","-0.0383047743498491","0.533136422547043"
"East_Sucia_7_Island","0.0458425324832092","-0.133080475049231","39","18","0.27343696718667","-0.146287863821806","0.504133878886687","2.01581678922153e-16","-0.3201065132766","0.00799496408781922","0.0871551503581196","0.553057876195082"
"East_Sucia_8_Island","-0.141989577424094","-0.573057796833953","3","3","0.187429259625714","-0.339559471344238","1.20169591016396","-0.036562079918247","-0.458489779348545","0.259657017664014","-0.473245443995284","1.31710084285588"
"Ewing_Island","-0.009167633972334","-0.205211961350099","54","16","0.0777599875139124","-0.0235134261501593","0.41560208090569","-4.57874639695036e-17","-0.399202706999003","0.00744253513437928","0.115631424024928","0.682773989973079"
"Fawn_Island","0.173190165827347","-0.134794040706343","30","31","0.0454209997742973","0.0065995661524045","0.609368846914976","0.0166947490859346","-0.432095246922723","0.00139720145633034","0.185123980211786","0.712456011805529"
"Flat_Top_Island","0.0067012596442611","-0.142401764678741","69","33","0.0702922048577122","-0.0126343683553229","0.310840417001327","0.00566476487343993","-0.303802285864817","0.00185598740630814","0.117978601281419","0.500955500195095"
"Flint_Beach_Island","0.0999856465122094","-0.161547446110418","43","15","0.119225949617123","-0.0711591533695279","0.594225338614783","0.000520367188985691","-0.191520366344528","0.076362950316794","-0.0211217334504323","0.40520320051746"
"Flower_Island","0.0613126297759787","-0.087648852338674","40","18","0.289209405992521","-0.131988870685556","0.429911834914861","-0.0219960249935161","-0.285404574686488","0.0252987870607675","0.0338312160576191","0.492985883328324"
"Fortress_Island","0.0137641547790682","-0.245228937029177","32","15","0.0231364556984473","0.0382008787158578","0.479785304900632","0.0137552927341487","-0.32396772782182","0.00255712983852676","0.126090721422944","0.549355319688993"
"Gossip_Island","0.168010162477352","-0.0815812726059853","34","15","0.0409886200757812","0.0106612039191815","0.488521666247493","0.00205482648572636","-0.385087295210439","0.0015637567095396","0.155275909796829","0.619008333595502"
"Hat_Island","0.00707766599310323","-0.0872901894626108","61","27","0.316749338704598","-0.0930493937468644","0.281785104658292","0.0211576956883039","-0.271764034130367","0.00393062540562715","0.0966914389297879","0.489152020707554"
"Huckleberry_Island","-0.00704089717240209","-0.0786740617215268","69","32","0.417039031599213","-0.103733439972337","0.246999769070587","-0.00188589944267704","-0.280746043906037","0.0132578529060073","0.059775716076171","0.497944572850549"
"Iceberg_Island","0.02121008349338","-0.0475767986690152","25","16","0.555164971634914","-0.165436251396143","0.303010015720934","-0.0013208263075271","-0.167620274499029","0.127645905946761","-0.0498851020347766","0.38248399841778"
"Little_Cactus","0.0400558241218362","0.0115964126304624","22","10","0.875537951917083","-0.355837178146705","0.412756001129452","-0.00108268292935652","-0.210769708098971","0.0667302098291698","-0.0157437847925547","0.435117835131784"
"Little_McConnell_Island","0.155272929701701","-0.124563953780266","36","27","0.0645751423614793","-0.0174610875424226","0.577134854506357","0.0113599845197045","-0.255782002636066","0.027628789638253","0.030702425091006","0.503581549220535"
"Little_Nob","0.113982988912431","-0.522878745280338","4","1","NA","NA","NA","0.169733553992313","-0.513893477890224","NA","NA","NA"
"Little_Oak","-0.150876905858897","-0.0851098741982139","5","6","0.692043156281492","-0.429929762701747","0.298395699380381","-0.0588412317894804","0.00080719927072646","0.710523955576687","-0.411853144101788","0.292556281981374"
"Little_Sucia_Island","0.0275487218701048","-0.140132137930625","50","21","0.151940207741143","-0.0642693710228332","0.399631090624293","0.00179671847990055","-0.509936190255016","0.000140664376899986","0.261057562181972","0.762408255287861"
"Low_Island","-0.0986204774363043","-0.0933263935170074","18","14","0.975408547391509","-0.353129117280938","0.342540949442344","0.0370447026550073","-0.0948469983277988","0.281045167408823","-0.114516418518419","0.378299820484031"
"Mackaye_Harbor_Island","0.151924673787484","-0.306164422055464","12","13","0.00994021767525553","0.120913566255813","0.795264625430083","-1.05524493946204e-16","-0.109239938143782","0.427501192927401","-0.171121462278995","0.389601338566558"
"Massacre_Bay__1_Island","-0.101324280139404","-0.140549339033279","7","6","0.756858743781127","-0.232763741139369","0.311213858927118","-0.0223738903513826","-0.0133017544883679","0.946808753052617","-0.303173776017255","0.285029504291225"
"Matia_Island","-0.0101675837684295","-0.249699474438003","80","39","0.0155672951164682","0.0469870195077749","0.432076761831373","0.00117985101404084","-0.446641664098266","9.51769997612451e-05","0.229620891304353","0.66602213892026"
"Matia_West__1","-4.73678837905583e-05","-0.305347359432396","44","13","0.0204386044899283","0.0506733592108378","0.559926623886374","0.029952287500268","-0.684446509176683","5.07302695619772e-06","0.433160737115203","0.995636856238699"
"Matia_West__2","-0.108652447745327","-0.269531046641052","13","8","0.323388013361656","-0.181742173183276","0.503499370974727","7.90049783073476e-17","-0.547645012889399","0.00933541201238178","0.151349354064175","0.943940671714623"
"McConnell_Island","0.0213974914257859","-0.100063958340698","68","36","0.257774512931245","-0.0907951233899133","0.333718022922881","0.0312996217648342","-0.297803808378602","0.00215597141077745","0.121891068609989","0.536315791676883"
"Near_Decatur_Island___Unnamed__3","0.0412253638789858","-0.308369910910079","25","13","0.0237603797109582","0.0493443478063977","0.649846201771731","1.95815585968262e-16","-0.453890423236147","0.00142603962871334","0.187650254256212","0.720130592216083"
"Nob_Island","0.143799102282917","-0.167187679200332","30","20","0.030517176073362","0.0305987475425996","0.591374815423899","0.0390660518208376","-0.359349507739874","0.00448716826589381","0.130590727713813","0.66624039140761"
"North_Finger_Island","0.00247682737444061","-0.102390953176369","57","24","0.279510353700022","-0.0881475023208598","0.297883063422479","0.0162237027086062","-0.313067556611849","0.000870464690760697","0.140077543878465","0.518504974762445"
"Oak_Island","0.121410841332656","-0.0551442380166461","22","18","0.245469813600403","-0.127703372158168","0.480813530856773","0.0311282205292213","-0.390341648603505","0.00951645084408433","0.112335907809109","0.730603830456344"
"Pole_Island","0.0808901728430044","-0.12195307473907","19","14","0.253975288842389","-0.15396177199936","0.559648267163508","0.0174506064928141","-0.260960223389248","0.0376450807400355","0.0169643864134296","0.539857273350694"
"Posey_Island","0.117505890567004","-0.106735933999027","35","26","0.0880922844186723","-0.0346009209236868","0.483084570055748","0.00434587227737553","-0.414686004681819","0.00104057908677697","0.177107755526039","0.660955998392351"
"Reef_Island","0.00972708943109748","-0.0239820295530503","45","21","0.763915176219611","-0.189559939537665","0.256978177505961","0.0161332420339203","-0.374362390888703","0.000771208496560831","0.169768286638297","0.61122297920695"
"Reeflet_Island","-0.00233572696668692","-0.167843688894566","12","12","0.288169771231098","-0.150289221056603","0.48130514491236","0.0354591989142297","-0.133031148926653","0.283923872209797","-0.151900752069551","0.488881447751316"
"Rim_Island","0.0540580961995461","-0.380465892906847","21","11","0.0199721904447321","0.0750762272743778","0.793971750938408","3.96559851755293e-17","-0.30533860928287","0.0447415716760538","0.00767319721473796","0.603004021351003"
