"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"Little_McConnell_Island","-0.0247612478478064","0.0603338493807271","9","6","0.221657026206847","-0.229372480625126","0.059182286168059","-0.0762498688123396","0.155798662389394","0.00386920402363521","-0.372162564907792","-0.0919344974956744"
"Little_Nob","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Oak","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Sucia_Island","0.064588051494322","0.0416861136782888","9","5","0.807050833267307","-0.179485543143963","0.225289418776029","-0.069630214731625","0.120842329643933","0.108671755021061","-0.429979927744237","0.0490348389931215"
"Low_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mackaye_Harbor_Island","0","0.384856148489453","2","1","NA","NA","NA","-0.121564958737834","0.324490326176658","NA","NA","NA"
"Massacre_Bay__1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Matia_Island","0.0464912026044003","0.0831254084982212","18","12","0.598926873544037","-0.177935853048377","0.104667441260736","-0.0438761144024833","0.167462122972446","0.00622511081281326","-0.357265194872601","-0.0654112798772568"
"Matia_West__1","0.0551096060333678","0.10057707996715","13","3","0.612114485374615","-0.258112047706604","0.16717709983904","-0.0568837877044934","0.231330455140494","0.0429809249846538","-0.562625250293836","-0.0138032353961384"
"Matia_West__2","0.128151565508984","-0.0079571817246517","2","5","0.0608936739855593","-0.00927421489594074","0.281491709363213","0.126807267640753","0.0440309796455016","0.472429455356697","-0.542914320469463","0.708466896459965"
"McConnell_Island","-0.00538878794410035","0.050373232092941","13","7","0.406817429301208","-0.198901792259475","0.0873777521853925","-0.0649150133986772","0.137934219143211","0.0104164731000295","-0.350685865320115","-0.0550125997636615"
