"","Species.Status","Nearest.native","MinDist.Nearest.native","MeanDist.NativeCommunity","Nearest.invasive","MinDist.Nearest.invasive","MeanDist.InvasiveCommunity"
"Aquilegia_formosa","n",".Ranunculus_occidentalis.Ranunculus_uncinatus","130.123066","351.936835071111","Eschscholzia_californica","265.764922","300.225264364286"
"Berberis_nervosa","n","Berberis_aquifolium","11.365946","354.046310893333","Eschscholzia_californica","265.764922","300.225264364286"
"Berberis_aquifolium","n","Berberis_nervosa","11.365946","354.046310893333","Eschscholzia_californica","265.764922","300.225264364286"
"Eschscholzia_californica","i","Aquilegia_formosa","265.764922","355.306778712389",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","273.800932","300.473180496403"
"Festuca_roemeri","n","Festuca_occidentalis","0.20661","374.948305275556",".Vulpia_bromoides.Vulpia_myuros","34.836849","306.744397764286"
"Festuca_occidentalis","n","Festuca_roemeri","0.20661","374.948305275556",".Vulpia_bromoides.Vulpia_myuros","34.836849","306.744397764286"
"Vulpia_microstachys","n",".Festuca_occidentalis.Festuca_roemeri","34.787831","375.1019986",".Vulpia_bromoides.Vulpia_myuros","34.836848","306.744396764286"
"Festuca_rubra","n","Vulpia_microstachys","34.836848","375.102434315556","Vulpia_bromoides","10.724878","306.463105421429"
"Vulpia_bromoides","i","Festuca_rubra","10.724878","373.490144243363","Vulpia_myuros","19.56803","308.590718568345"
"Vulpia_myuros","i","Festuca_rubra","19.56803","373.529273234513","Vulpia_bromoides","19.56803","308.590718568345"
"Festuca_subuliflora","n",".Festuca_rubra.Vulpia_microstachys","35.536845","375.111768591111",".Vulpia_bromoides.Vulpia_myuros","35.536845","306.754397707143"
"Festuca_arundinacea","i",".Festuca_rubra.Vulpia_microstachys","38.321433","373.670830615044","Festuca_pratensis","7.514114","308.436042482014"
"Festuca_pratensis","i",".Festuca_rubra.Vulpia_microstachys","38.321433","373.670830615044","Festuca_arundinacea","7.514114","308.436042482014"
"Lolium_perenne","i",".Festuca_rubra.Vulpia_microstachys","38.321433","373.670830615044",".Festuca_arundinacea.Festuca_pratensis","28.875238","308.589719633094"
"Cynosurus_cristatus","i",".Festuca_rubra.Vulpia_microstachys","39.863012","373.704937323009","Cynosurus_echinatus","24.561334","308.629883417266"
"Cynosurus_echinatus","i",".Festuca_rubra.Vulpia_microstachys","39.863012","373.704937323009","Cynosurus_cristatus","24.561334","308.629883417266"
"Dactylis_glomerata","i",".Festuca_rubra.Vulpia_microstachys","39.863012","373.704937323009",".Cynosurus_cristatus.Cynosurus_echinatus","35.688618","308.709935820144"
"Holcus_lanatus","i",".Festuca_rubra.Vulpia_microstachys","41.11763","373.732694358407",".Vulpia_bromoides.Vulpia_myuros","41.11763","308.833181273381"
"Poa_compressa","i","Poa_secunda","2.968414","373.394002181416","Poa_pratensis","14.116428","308.286686323741"
"Poa_secunda","n","Poa_trivialis","11.721584","375.040338128889","Poa_compressa","2.968414","306.105841521429"
"Poa_trivialis","n","Poa_secunda","11.721584","375.040338128889","Poa_compressa","11.721584","306.168364164286"
"Poa_pratensis","i",".Poa_secunda.Poa_trivialis","14.116428","373.453926331858","Poa_compressa","14.116428","308.286686323741"
"Poa_bulbosa","i",".Poa_secunda.Poa_trivialis","16.460657","373.474672712389",".Poa_compressa.Poa_pratensis","16.460657","308.303552266187"
"Poa_annua","i",".Poa_secunda.Poa_trivialis","22.650998","373.5294535",".Poa_compressa.Poa_pratensis","22.650998","308.392620942446"
"Puccinellia_nutkaensis","n",".Poa_secunda.Poa_trivialis","31.240066","375.127086937778",".Poa_annua.Poa_compressa.Poa_pratensis","31.240066","306.597011292857"
"Aira_praecox","i",".Poa_secunda.Poa_trivialis.Puccinellia_nutkaensis","37.53984","373.689088269912","Aira_caryophyllea","7.456392","308.497535172662"
"Aira_caryophyllea","i",".Poa_secunda.Poa_trivialis.Puccinellia_nutkaensis","37.53984","373.689088269912","Aira_praecox","7.456392","308.497535172662"
"Agrostis_scabra","n","Agrostis_exarata","8.056823","374.854588173333","Agrostis_stolonifera","4.225594","306.405998664286"
"Agrostis_stolonifera","i","Agrostis_scabra","4.225594","373.214636871681","Polypogon_monspeliensis","8.056823","308.579958410072"
"Polypogon_monspeliensis","i","Agrostis_exarata","3.347872","373.210752154867","Agrostis_stolonifera","8.056823","308.579957417266"
"Agrostis_exarata","n","Agrostis_scabra","8.056823","374.854587177778","Polypogon_monspeliensis","3.347872","306.399728235714"
"Calamagrostis_purpurascens","n","Agrostis_exarata","9.738099","374.862060511111","Polypogon_monspeliensis","9.738099","306.457382821429"
"Trisetum_cernuum","n","Koeleria_macrantha","5.663124","374.926284466667","Avena_fatua","22.715247","306.671574921429"
"Koeleria_macrantha","n","Trisetum_cernuum","5.663124","374.926284466667","Avena_fatua","22.715247","306.671574921429"
"Avena_fatua","i",".Koeleria_macrantha.Trisetum_cernuum","22.715247","373.443279429204","Anthoxanthum_odoratum","26.747708","308.714425201439"
"Anthoxanthum_odoratum","i",".Koeleria_macrantha.Trisetum_cernuum","26.747709","373.478964933628","Avena_fatua","26.747708","308.714425201439"
"Phalaris_arundinacea","i","Agrostis_exarata","29.731897","373.52486910177","Polypogon_monspeliensis","29.731897","308.757025906475"
"Hordeum_depressum","i","Hordeum_brachyantherum","5.066269","373.419066721239","Hordeum_jubatum","1.398112","308.015470669065"
"Hordeum_jubatum","i","Hordeum_brachyantherum","5.066269","373.419066721239","Hordeum_depressum","1.398112","308.015470669065"
"Hordeum_brachyantherum","n","Leymus_mollis","14.14467","375.056191266667",".Hordeum_depressum.Hordeum_jubatum","5.066269","305.877749907143"
"Hordeum_murinum","i","Hordeum_brachyantherum","7.909734","373.431649420354",".Hordeum_depressum.Hordeum_jubatum","7.909733","308.062317848921"
"Leymus_mollis","n","Hordeum_brachyantherum","14.14467","375.056191266667",".Hordeum_depressum.Hordeum_jubatum","14.144669","306.051976592857"
"Elymus_repens","i","Elymus_glaucus","1.008558","373.382007526549","Taeniatherum_caput_medusae","12.900164","308.154517"
"Elymus_glaucus","n","Elymus_trachycaulus","9.827","375.037000635556","Elymus_repens","1.008558","305.960617292857"
"Elymus_trachycaulus","n","Elymus_glaucus","9.827","375.037000635556","Elymus_repens","9.827","306.023606164286"
"Taeniatherum_caput_medusae","i",".Elymus_glaucus.Elymus_trachycaulus","12.900164","373.448223323009","Elymus_repens","12.900164","308.154517"
"Bromus_sterilis","i","Bromus_carinatus","7.796794","373.607628995575","Bromus_tectorum","2.829384","307.944108122302"
"Bromus_tectorum","i","Bromus_carinatus","7.796794","373.607628995575","Bromus_sterilis","2.829384","307.944108122302"
"Bromus_diandrus","i","Bromus_carinatus","7.796794","373.607628995575",".Bromus_sterilis.Bromus_tectorum","3.741476","307.950669935252"
"Bromus_carinatus","n",".Elymus_glaucus.Elymus_trachycaulus","28.499745","375.233454928889",".Bromus_diandrus.Bromus_sterilis.Bromus_tectorum","7.796794","305.864646792857"
"Bromus_commutatus","i","Bromus_carinatus","12.14385","373.626863756637","Bromus_hordeaceus","7.658186","308.039296438849"
"Bromus_hordeaceus","i","Bromus_carinatus","12.14385","373.626863756637","Bromus_commutatus","7.658186","308.039296438849"
"Achnatherum_lemmonii","n",".Festuca_rubra.Vulpia_microstachys","54.893412","375.952310786667",".Vulpia_bromoides.Vulpia_myuros","54.893412","309.044430278571"
