Row.names,Status,Habit,woodiness,sla,leafletSize,seedMass,leafN,maxHeight
Stellaria_crispa,n,p,H,NA,NA,0.057227616,NA,0.6
Stellaria_media,i,a,NA,358.8464209,3.075897726,0.303420742,4.043831184,0.409090909
Stellaria_nitens,n,a,W,NA,NA,0.096,NA,0.25
Symphoricarpos_albus,n,s,NA,224.7187713,19.46608042,5.894830775,1.371594582,1.987012987
Symphyotrichum_subspicatum,n,p,H,NA,NA,NA,NA,NA
Taeniatherum_caput_medusae,i,a,H,NA,NA,6.216722615,1.83,NA
Taraxacum_officinale,i,p,W,309.7168031,37.18,0.631089303,3.569312249,0.6
Taxus_brevifolia,n,s,H,90.62390849,0.22,30.89190426,1.186026973,15
Teesdalia_nudicaulis,i,a,H,278.9336839,1.044413711,0.29007774,NA,0.25
Tellima_grandiflora,n,a,W,342.1184006,57.77,0.0483556,NA,0.8
Thuja_plicata,n,t,H,NA,NA,1.347086579,1.186303521,60
Tiarella_trifoliata,n,p,H,NA,NA,0.426724564,NA,0.5
Toxicoscordion_venenosum,n,p,NA,NA,NA,1.663359651,NA,NA
Tragopogon_porrifolius,i,p,H,293.6887403,13.34863939,11.46463558,NA,1
Trientalis_latifolia,n,p,NA,NA,NA,NA,NA,NA
Trifolium_dubium,i,a,H,292.4753661,1.289883716,0.379751199,NA,0.333333333
Trifolium_incarnatum,i,a,H,282.814481,14.18684249,2.665283334,NA,0.8
Trifolium_macraei,n,a,NA,NA,NA,1.52,NA,0.3
Trifolium_microcephalum,n,a,H,NA,NA,0.519199384,2.89,0.7
Trifolium_microdon,n,a,NA,NA,NA,NA,NA,NA
Trifolium_oliganthum,n,a,NA,NA,NA,1.062,NA,0.35
Trifolium_pratensis,i,a,NA,NA,NA,NA,NA,NA
Trifolium_procumbens,i,a,NA,NA,NA,NA,NA,NA
Trifolium_repens,i,p,H,280.1702401,3.669746609,0.55993871,4.083380606,0.171428571
Trifolium_subterraneum,i,p,H,250,NA,6.519350036,5.13,NA
Trifolium_tridentatum,n,a,NA,NA,NA,NA,NA,NA
Trifolium_variegatum,n,a,NA,NA,NA,1.4583747,NA,0.6
Triglochin_maritima,n,p,H,110.8527077,3.737214378,0.579672792,NA,1.2
Triphysaria_pusilla,n,a,NA,NA,NA,0.228835004,NA,0.2
Trisetum_cernuum,n,p,NA,NA,NA,0.665302939,NA,NA
Triteleia_grandiflora,n,p,H,NA,NA,1.2025,NA,0.7
Triteleia_hyacinthina,n,p,H,NA,NA,1.1856,NA,0.6
Tsuga_heterophylla,n,t,W,90.5097692,0.16,1.914950852,1.180839834,60
Turritis_glabra,n,p,NA,257.8523087,7.301206205,0.066238662,NA,1.2
Typha_latifolia,n,p,H,97.01537514,218.502322,0.071737302,1.240192825,2.727272727
Urtica_dioica,n,p,H,269.0681423,31.54897371,0.136105062,4.360904847,2
Vaccinium_ovatum,n,s,H,NA,NA,1.636435002,0.684105255,3
Vaccinium_parvifolium,n,s,W,204.1743443,1.508973161,0.222008076,NA,4
Valeriana_hookeri,n,p,W,NA,NA,NA,NA,NA
Valerianella_locusta,i,a,NA,317,1.52,1.710904666,NA,0.04
Veronica_arvensis,i,a,H,310.925452,1.049779848,0.113359679,NA,0.16
Veronica_chamaedrys,i,p,H,295.9284433,2.923066309,0.20636128,1.888987883,0.15
Veronica_officinalis,i,p,H,254.8623022,0.774209274,0.133932853,1.959907249,0.4
Veronica_peregrina,i,a,H,305.9564263,0.395575557,0.032529524,NA,0.25
Veronica_serpyllifolia,i,p,NA,228.5810126,1.88,0.056224391,NA,0.3
Vicia_americana,n,p,NA,NA,NA,12.64809333,2.588397187,0.461538462
Vicia_cracca,i,p,H,260.9799102,9.581503014,14.195288,4.070856733,2
Vicia_hirsuta,i,a,H,214.0022717,2.498803694,5.074275981,NA,0.7
Vicia_nigricans,n,p,H,NA,2.180917238,89.80896392,NA,2
Vicia_sativa,i,a,NA,253.2226504,3.295071334,22.01765454,NA,0.8
Vinca_major,i,p,H,188.4610957,26.07,19.4088,NA,0.48
Vitis_riparia,i,p,H,268.4958274,NA,79,1.57,NA
Vitis_vinifera,i,p,W,268.7572548,119.6264764,27.82085549,2.523057513,NA
Vulpia_bromoides,i,a,W,187.6299006,0.377021967,0.441502166,NA,0.55
Vulpia_microstachys,n,a,H,NA,NA,1.001672829,NA,0.4
Vulpia_myuros,i,a,H,215.9508041,0.32,0.503101383,NA,0.9
Woodsia_scopulina,n,p,H,NA,NA,NA,NA,NA
Zostera_marina,n,p,H,NA,NA,NA,NA,2.5
