Row.names,Status,Habit,woodiness,sla,leafletSize,seedMass,leafN,maxHeight
Castilleja_attenuata,n,a,H,NA,NA,0.04,NA,0.35
Castilleja_hispida,n,p,NA,NA,NA,0.107,NA,0.6
Castilleja_victoriae,n,a,NA,NA,NA,NA,NA,NA
Cerastium_arvense,n,p,NA,221.1896882,NA,0.269208937,3.5,0.4
Cerastium_fontanum,i,a,H,289.9885473,0.617912845,0.128260272,2.41,0.218181818
Cerastium_glomeratum,i,a,H,203.4600391,1.687684936,0.044771983,NA,0.5
Cerastium_pumilum,i,a,H,306.2066887,0.197941153,0.097899661,NA,0.5
Cerastium_semidecandrum,i,a,H,187.7625921,0.300797876,0.035721054,NA,0.2
Chamerion_angustifolium,n,p,H,185.4534587,NA,0.04659001,3.178166799,3
Chenopodium_album,i,a,H,220.0738116,16.07160038,0.602605244,3.577772166,1
Cirsium_arvense,i,p,H,133.7819548,35.59970356,1.298344525,2.223286532,1.333333333
Cirsium_vulgare,i,p,H,145.469091,51.42430892,2.802348142,NA,1.714285714
Clarkia_amoena,n,p,H,NA,NA,NA,NA,NA
Claytonia_exigua,n,a,NA,NA,NA,0.456,NA,1.5
Claytonia_parviflora,n,a,H,NA,NA,0.279033153,NA,0.3
Claytonia_perfoliata,n,a,H,442.3133385,6.831161715,0.651074866,NA,0.291666667
Claytonia_rubra,n,a,H,NA,NA,0.289,NA,0.6
Collinsia_grandiflora,n,a,H,NA,NA,NA,NA,0.4
Collinsia_parviflora,n,a,H,NA,NA,1.641347637,NA,0.4
Conioselinum_pacificum,n,p,NA,NA,NA,NA,NA,NA
Conringia_orientalis,i,a,NA,301.7384135,48.44697993,2.53968502,NA,0.5
Corallorhiza_maculata,n,p,H,NA,NA,0.002356028,NA,0.5
Coreopsis_lanceolata,i,p,H,NA,NA,1.133402478,NA,0.2
Corylus_cornuta,n,t,H,302.32,33.21,447.5033133,1.953619192,3
Cotoneaster_dielsianus,i,s,W,NA,NA,19.27755171,NA,NA
Cotoneaster_franchetii,i,s,NA,NA,NA,11.53998354,NA,NA
Cotoneaster_horizontalis,i,s,NA,109.3050093,0.412702659,10.89205717,NA,0.5
Crassula_tillaea,i,a,W,NA,NA,0.009591663,NA,NA
Crataegus_douglasii,n,s,H,97.3,NA,24.12051781,NA,7
Crataegus_monogyna,i,s,W,111.7150347,4.975799182,104.2861733,1.681000878,4.205058179
Crepis_capillaris,i,a,W,277.8891818,14.57061661,0.231576267,NA,0.45
Cuscuta_salina,n,a,H,NA,NA,1.252,NA,NA
Cynosurus_cristatus,i,a,NA,227.9273582,3.505441022,0.514688493,NA,0.177777778
Cynosurus_echinatus,i,a,H,NA,NA,1.429934655,NA,0.5
Cystopteris_fragilis,n,p,H,214,19.7,NA,NA,0.276923077
Dactylis_glomerata,i,p,H,250.9600457,10.26777952,0.83345553,2.672732347,1.054882717
Danthonia_californica,n,p,H,NA,NA,2.38181849,NA,1.3
Daphne_laureola,i,s,H,90.34187708,15.25060269,NA,NA,1.8
Daucus_pusillus,n,p,NA,NA,NA,0.780176456,NA,0.9
Delphinium_menziesii,n,p,NA,NA,NA,1.536,NA,0.7
Delphinium_nuttallianum,n,p,NA,NA,NA,0.415480645,NA,0.7
Digitalis_purpurea,i,p,NA,226.3813845,320.6795545,0.085463283,3.78,1.348469228
Distichlis_spicata,n,p,H,NA,NA,0.441687672,NA,0.4
Dryopteris_expansa,n,p,H,205.6045362,605.3478601,NA,NA,0.7
Eleocharis_palustris,n,p,H,103.1,NA,0.704215209,1.45,0.75
Elymus_glaucus,n,p,H,NA,NA,4.244005223,NA,1.8
Elymus_repens,i,p,NA,260.2344072,26.12165889,3.814083821,2.37584755,0.918058124
Elymus_trachycaulus,n,p,H,NA,NA,3.506930282,NA,1.2
Epilobium_ciliatum,n,p,NA,479.8397034,4.176293469,0.071739632,NA,1.5
Epilobium_minutum,n,a,NA,NA,NA,0.090853729,NA,0.45
Epilobium_paniculatum,n,a,H,NA,NA,NA,NA,NA
Epipactis_helleborine,i,p,H,273.9167338,22.61959249,0.002634311,NA,1
Equisetum_arvense,n,p,H,104.9467213,1.577433655,NA,1.683777056,0.232258065
Equisetum_hyemale,n,p,H,29.62154902,13.62984416,NA,NA,1.2
Equisetum_telmateia,n,p,NA,162.2980106,0.491100337,NA,NA,1.5
Eriophyllum_lanatum,n,p,H,NA,NA,0.892265643,NA,0.6
Erodium_cicutarium,i,a,H,344.7452578,8.918667895,2.037322398,1.97,0.257142857
Erophila_verna,i,a,H,315.0137673,1.102270384,0.034501913,NA,0.25
Erythronium_oregonum,n,p,H,NA,NA,5.0544,NA,0.35
Eschscholzia_californica,i,p,H,NA,NA,1.330813379,NA,0.5
Festuca_arundinacea,i,p,H,176.5743251,36.40892748,2.239725451,NA,2
Festuca_occidentalis,n,p,H,NA,NA,0.278,NA,1.1
Festuca_pratensis,i,p,H,241.958618,5.028081145,2.087171781,NA,0.4875
Festuca_roemeri,n,p,H,NA,NA,NA,NA,NA
Festuca_rubra,n,p,H,168.0623132,0.811702966,1.029774268,2.085904247,0.8
Festuca_subuliflora,n,p,NA,NA,NA,NA,NA,NA
Fragaria_vesca,n,p,H,211.2621625,17.22183787,0.322860772,1.959731703,0.15
Fragaria_virginiana,n,p,NA,NA,NA,0.460685055,1.621600279,0.15
Fritillaria_affinis,n,p,H,NA,NA,2.204,NA,0.8
Galium_aparine,n,a,H,333.6211091,1.313828707,8.296528701,2.820979493,0.571428571
Galium_triflorum,n,a,H,NA,0.75,0.798041104,1.905135813,0.8
Gamochaeta_purpurea,n,a,H,NA,NA,0.0104,NA,NA
Gaultheria_shallon,n,s,H,69.24902224,28.77491181,0.139346991,0.88904352,3
Gayophytum_diffusum,n,a,H,NA,NA,0.2988,NA,0.6
Geranium_carolinianum,i,a,W,NA,NA,2.404972589,NA,0.7
Geranium_dissectum,i,a,NA,229.8499569,10.61980912,2.254139087,NA,0.6
Geranium_molle,i,a,NA,299.0009532,6.926225756,1.082689884,NA,0.24
Geranium_robertianum,i,a,H,415.0009869,11.90408947,1.383172642,2.576819745,0.545454545
Geum_macrophyllum,n,p,H,NA,NA,0.609469491,NA,1
Gnaphalium_palustre,n,a,H,NA,NA,NA,NA,NA
Goodyera_oblongifolia,n,p,H,NA,NA,0.001414214,NA,0.4
Grindelia_hirsutula,n,p,NA,NA,NA,3.825178447,NA,0.8
Grindelia_integrifolia,n,p,H,NA,NA,3.573,NA,0.8
Hedera_helix,i,s,NA,135.5730942,13.60682824,25.07291468,1.68358219,2.857142857
Hemizonella_minima,n,a,NA,NA,NA,NA,NA,NA
Heracleum_maximum,n,p,W,NA,NA,7.386065194,NA,3
Heuchera_micrantha,n,p,NA,NA,NA,0.037393803,NA,0.6
Hieracium_albiflorum,n,p,H,NA,NA,0.374383107,NA,1.2
Holcus_lanatus,i,p,H,325.8784906,7.040781333,0.270979825,2.146392322,0.366650502
Holodiscus_discolor,n,s,H,152.1522368,7.874762381,0.149720368,1.760585635,2.857585151
Honckenya_peploides,n,p,H,177.5415379,0.391990694,7.520212763,NA,0.4
Hordeum_brachyantherum,n,p,W,NA,NA,2.66931099,NA,1
Hordeum_depressum,i,a,H,NA,NA,NA,NA,NA
Hordeum_geniculatum,i,a,H,NA,NA,NA,NA,NA
Hordeum_jubatum,i,a,H,204.2949934,1.81,1.573048776,2.05750318,0.6
Hordeum_murinum,i,a,NA,318.4243291,2.095163108,4.719305349,3.05,0.5
Hutchinsia_procumbens,n,a,H,NA,NA,NA,NA,NA
Hypericum_perforatum,i,p,H,301.1697141,1.245459665,0.125809443,NA,0.75
Hypochaeris_glabra,i,a,NA,355.603754,4.087824775,0.665028787,NA,0.4
Hypochaeris_radicata,i,p,H,446.5922825,17.14523776,0.848399925,NA,0.25
Ilex_aquifolium,i,s,H,67.59099905,18.26028484,31.20906646,1.584111911,8.214285714
Iris_germanica,i,p,H,130.7746594,130.090215,NA,NA,NA
Jacobaea_vulgaris,i,p,H,253.2118534,45.76078352,0.197991572,NA,NA
Juncus_balticus,n,p,W,NA,NA,0.047412099,NA,0.6
Juncus_bufonius,n,a,H,174.6713331,0.748999332,0.016696985,NA,0.163636364
Juncus_effusus,n,p,H,76.55077725,36.04692838,0.017039825,1.32462272,1.090909091
Juncus_laccatus,n,p,H,NA,NA,NA,NA,NA
Juniperus_maritima,n,t,H,NA,NA,NA,NA,NA
Koeleria_macrantha,n,p,H,127.8436505,4.54,0.294366433,1.81,0.3
Lactuca_muralis,i,a,NA,602.3291118,NA,0.308787305,NA,0.9
Lactuca_serriola,i,a,NA,170.9255951,59.93,0.550291474,2.8,1.5
Lamium_purpureum,i,a,NA,343.1070196,4.771284233,0.781097702,NA,0.423529412
Lapsana_communis,i,a,H,477.2848377,48.7603066,0.902470091,NA,0.692307692
Lathyrus_aphaca,i,p,H,NA,NA,15.15694005,NA,NA
Lathyrus_japonicus,n,p,H,NA,NA,27.32842809,NA,1.5
Lathyrus_nevadensis,n,p,H,NA,NA,16.7,NA,1
Lemna_turionifera,n,a,H,NA,NA,NA,NA,NA
Lepidium_virginicum,n,a,NA,251.0199637,6.234109127,0.488408458,NA,0.6
Leymus_mollis,n,p,NA,NA,NA,NA,NA,1.5
Lilium_columbianum,n,p,H,NA,NA,2.646184389,NA,1.2
Linaria_genistifolia,i,p,H,NA,NA,0.1612,NA,1.2
Linnaea_borealis,n,p,H,260.8748408,0.802690579,1.774326032,1.188410362,0.1
Listera_cordata,n,p,H,361.7306621,1.958353694,NA,NA,0.25
Lithophragma_parviflorum,n,p,NA,NA,NA,NA,NA,NA
Lolium_perenne,i,p,NA,259.0771857,3.922499203,1.881075298,3.110111002,0.409090909
Lomatium_nudicaule,n,p,NA,NA,NA,14.91407469,NA,0.9
Lomatium_utriculatum,n,p,H,NA,NA,NA,NA,NA
Lonicera_ciliosa,n,s,NA,NA,NA,NA,NA,NA
Lonicera_hispidula,n,s,NA,112.439233,6.28,7.219597336,1.2,6
Lonicera_involucrata,n,s,NA,140.1127538,23.41498703,1.481234958,NA,5
Lotus_corniculatus,i,a,W,245.7490956,1.302599925,1.211548071,2.901344195,0.3
Lotus_purshiana,n,a,NA,NA,NA,NA,NA,NA
Lupinus_bicolor,n,a,H,NA,NA,7.623136267,2.68,0.4
Lupinus_microcarpus,n,a,H,NA,NA,21.89243692,NA,NA
Luzula_comosa,n,p,H,NA,NA,0.693606115,NA,NA
Maianthemum_dilatatum,n,p,H,NA,NA,17.99179271,NA,0.35
Maianthemum_racemosum,n,p,H,NA,NA,34.46429498,NA,1
Malus_fusca,n,s,W,157,NA,18.74490249,NA,12
Malus_pumila,i,s,W,170.68,NA,22.35872906,1.734921445,12
Marah_oreganus,n,p,NA,NA,NA,NA,NA,NA
Melica_bulbosa,n,p,NA,NA,NA,NA,NA,NA
Melica_subulata,n,p,NA,NA,NA,NA,NA,NA
Micranthes_integrifolia,n,p,NA,NA,NA,NA,NA,NA
Mimulus_alsinoides,n,a,H,NA,NA,0.0361314,NA,0.25
Mimulus_guttatus,n,p,NA,635.3007589,18.29471628,0.019537645,NA,0.8
Minuartia_rubella,n,p,H,NA,NA,0.080458744,NA,0.15
Minuartia_tenella,n,a,NA,NA,NA,NA,NA,NA
Monotropa_uniflora,n,p,NA,NA,NA,NA,1.97,0.3
Montia_fontana,n,a,H,534.0600126,0.108313716,0.262004419,NA,0.2
Montia_parvifolia,n,p,H,NA,NA,NA,NA,NA
Myosotis_discolor,i,a,H,298.7326159,0.67368278,0.204658006,NA,0.5
Myosotis_micrantha,i,a,NA,NA,NA,NA,NA,NA
Myosurus_minimus,n,p,H,206.8060184,0.827786772,0.07661638,NA,0.1
Narcissus_pseudonarcissus,i,p,H,192.9352223,17.31317995,5.235281254,4.3,NA
Nemophila_parviflora,n,p,H,NA,NA,4.691789637,NA,0.3
Nepeta_cataria,i,p,H,308.650226,4.014841737,0.55148294,NA,1
Oemleria_cerasiformis,n,s,W,166.155671,15.61061777,192.045805,1.92,3
Oenanthe_sarmentosa,n,p,NA,NA,NA,2.186280128,NA,1
Olsynium_douglasii,n,p,H,NA,NA,2.7284,NA,0.3
Opuntia_fragilis,n,p,W,NA,NA,22.36643436,NA,0.2
Orobanche_californica,n,a,NA,NA,NA,0.011,NA,0.35
Orobanche_uniflora,n,a,NA,NA,NA,0.00652469,NA,0.15
Osmorhiza_chilensis,n,p,H,NA,1.07,6.650562427,NA,NA
Osmorhiza_purpurea,n,p,NA,NA,NA,NA,NA,NA
Oxytropis_campestris,n,p,H,149.2537313,NA,1.786199296,NA,0.3
Paxistima_myrsinites,n,s,W,NA,NA,NA,NA,1
Pentagramma_triangularis,n,p,NA,NA,NA,NA,NA,NA
Perideridia_gairdneri,n,p,H,NA,NA,1.030198427,NA,1.2
Petroselinum_crispum,i,a,H,NA,NA,1.656424296,NA,NA
Phalaris_arundinacea,i,p,H,209.1356762,33.66,0.68753826,3.18,2
Philadelphus_lewisii,n,s,W,NA,NA,0.111783397,NA,3
Phyllospadix_scouleri,n,p,H,NA,NA,NA,NA,0.4
Picea_sitchensis,n,t,W,63.71489817,0.180636635,2.315457185,1.340906734,60.86065574
Pinus_contorta,n,t,W,38.17839945,NA,5.66663163,1.081757615,21.81818182
Piperia_elegans,n,p,NA,NA,NA,NA,NA,NA
Plagiobothrys_scouleri,n,a,NA,NA,NA,NA,NA,NA
Plantago_elongata,i,a,NA,NA,NA,NA,NA,NA
Plantago_lanceolata,i,p,H,191.1300186,13.30215447,1.258983651,1.826880883,0.43560879
Plantago_major,i,p,H,205.4944927,4.581488774,0.175186471,1.342190893,0.230769231
Plantago_maritima,n,p,H,114.9386818,6.669353877,0.396105591,NA,0.24
Plectritis_congesta,n,a,NA,NA,NA,0.562673973,NA,0.6
Poa_annua,i,a,H,369.9339183,1.368892137,0.253322893,3.514680872,0.292124306
Poa_bulbosa,i,a,H,208.5693582,0.159162322,0.573100316,1.34228466,0.6
Poa_compressa,i,p,H,204.2454144,1.767318609,0.212231483,5.06,0.6
Poa_confinis,n,p,NA,NA,NA,NA,NA,NA
Poa_pratensis,i,p,H,218.6366691,9.66850701,0.282177066,2.166492983,0.461538462
Poa_secunda,n,p,H,NA,NA,0.384813303,1.583666632,1.2
Poa_trivialis,n,p,H,321.6123488,0.905384859,0.150049836,4.26745826,0.406850033
Polygonum_aviculare,i,a,H,291.4169516,3.302888492,0.965717101,3.733764435,1
Polygonum_douglasii,n,a,NA,NA,NA,1.664393437,NA,0.4
Polygonum_fowleri,n,a,NA,NA,NA,NA,NA,0.5
Polygonum_spergulariiforme,n,a,NA,NA,NA,NA,NA,NA
Polypodium_glycyrrhiza,n,p,NA,NA,NA,NA,NA,NA
Polypodium_hesperium,n,p,NA,NA,NA,NA,NA,NA
Polypogon_monspeliensis,i,a,H,NA,NA,0.083101785,NA,0.7
Polystichum_munitum,n,p,H,NA,NA,NA,NA,1.5
Populus_tremuloides,n,t,W,123.5389196,18.99828662,0.117330417,2.302322432,16.01243127
Potentilla_anserina,n,p,H,208.78982,34.24778424,0.902587301,2.719965555,0.25
Primula_pauciflora,n,p,H,NA,NA,0.312269662,NA,NA
Prunella_vulgaris,i,p,H,288.5187379,6.668260239,0.809860994,1.67474742,0.285714286
Prunus_avium,i,t,H,190.4136994,26.37000792,178.545867,1.89833093,15.38915094
Prunus_cerasus,i,t,W,149.6723297,24.42484786,162.4189817,2.829911658,NA
Prunus_emarginata,n,t,W,173.2622931,8.083807807,42.2495271,NA,15
Prunus_mahaleb,i,t,W,196.9160663,7.01420061,83.8023508,2.068225589,9.473684211
Prunus_virginiana,n,t,W,158.5849192,21.26233322,68.25635896,2.478216425,10
Pseudognaphalium_stramineum,n,a,W,NA,NA,NA,NA,NA
Pseudotsuga_menziesii,n,t,NA,60.5069259,0.276626178,15.02411298,1.22967247,61.13948696
Pteridium_aquilinum,n,p,W,140.5284953,NA,NA,2.335245064,1.7
Puccinellia_nutkaensis,n,p,H,NA,NA,NA,NA,NA
