,Native,Introduced,Total,Hectares,Log.Hectares,Distance_m,Log_Distance_m,Closest.Island
Aleck_Rock,62,22,84,1.489878543,0.173150865,100,2,9
Barren_Island,31,18,49,1.214574899,0.084424301,530,2.72427587,1
Battleship_Island,60,29,89,1,0,400,2.602059991,1
Blind_Island,53,15,68,0.736842105,-0.132625565,70,1.84509804,9
Boulder_Island,69,24,93,2.55465587,0.407332406,120,2.079181246,9
Broken_Point_Island,34,20,54,0.185,-0.732828272,135,2.130333768,18
Buck_Island,10,7,17,0.437246964,-0.359273198,280,2.447158031,9
Castle_Island,93,30,123,3.400809717,0.531582333,130,2.113943352,9
Cemetery_Island,25,8,33,0.388663968,-0.41042572,160,2.204119983,1
Charles_Island,82,45,127,14.33198381,1.156306309,180,2.255272505,9
Cliff_Island,84,33,117,6.04048583,0.78107187,240,2.380211242,1
Colville_Island,26,24,50,4.55465587,0.658455569,770,2.886490725,9
Coon_Island,61,37,98,1.218623482,0.085869542,50,1.698970004,1
Crab_Island,8,7,15,0.12145749,-0.915575699,95,1.977723605,9
Deadman_Island,52,22,74,1.344129555,0.12844113,150,2.176091259,9
Dot_Island,67,27,94,1.4485,0.1609185,100,2,16
Dotlet_Island,18,10,28,0.063,-1.200659451,13,1.113943352,5
East_Sucia_1_Island,36,19,55,0.03,-1.522878745,45,1.653212514,19
East_Sucia_2_Island,29,16,45,0.01,-2,59,1.770852012,19
East_Sucia_3_Island,23,15,38,0.006,-2.22184875,78,1.892094603,19
East_Sucia_4_Island,42,11,53,0.083,-1.080921908,104,2.017033339,19
East_Sucia_5_Island,6,0,6,0.01,-2,165,2.217483944,19
East_Sucia_6_Island,32,13,45,0.22,-0.657577319,180,2.255272505,19
East_Sucia_7_Island,51,20,71,0.64,-0.193820026,216,2.334453751,19
East_Sucia_8_Island,7,3,10,0.0237,-1.625251654,14,1.146128036,6
Ewing_Island,70,19,89,7.47,0.873320602,100,2,19
Fawn_Island,43,32,75,1.234817814,0.091602886,130,2.113943352,1
Flat_Top_Island,93,46,139,19.83805668,1.297499127,1600,3.204119983,1
Flint_Beach_Island,63,20,83,1.133603239,0.054461078,140,2.146128036,9
Flower_Island,58,23,81,1.811023622,0.257924115,520,2.716003344,9
Fortress_Island,41,16,57,0.931174089,-0.030969117,460,2.662757832,9
Gossip_Island,49,26,75,0.858299595,-0.066361092,30,1.477121255,1
Hat_Island,86,31,117,45.8197,1.661052241,1550,3.190331698,7
Huckleberry_Island,89,37,126,5.1778,0.714145271,333,2.522444234,7
Iceberg_Island,42,23,65,1.295546559,0.112453025,300,2.477121255,9
Little_Cactus,29,11,40,0.133603239,-0.874183013,120,2.079181246,1
Little_McConnell_Island,54,35,89,0.542510121,-0.265592155,30,1.477121255,1
Little_Nob,9,3,12,0.052631579,-1.278753601,100,2,1
Little_Oak,7,8,15,0.0179,-1.747146969,50,1.698970004,13
Little_Oak_2,1,0,1,1.00E-04,-4,7,0.84509804,12
Little_Sucia_Island,69,23,92,7.48,0.873901598,182,2.260071388,19
Low_Island,24,15,39,0.186234818,-0.729939122,400,2.602059991,1
Mackaye_Harbor_Island,16,14,30,0.12145749,-0.915575699,20,1.301029996,1
Massacre_Bay_1_Island,13,9,22,0.056680162,-1.246568918,30,1.477121255,1
Matia_Island,112,51,163,57.08661417,1.756534286,4342,3.637689819,13
Matia_West_1,60,15,75,0.8994,-0.046047117,58,1.763427994,10
Matia_West_2,14,9,23,0.18,-0.744727495,18,1.255272505,11
McConnell_Island,101,44,145,11.5708502,1.063365271,880,2.944482672,1
Near_Decatur_Island_-_Unnamed_3,33,14,47,0.566801619,-0.246568918,50,1.698970004,1
Nob_Island,45,22,67,0.287449393,-0.541438605,80,1.903089987,1
North_Finger_Island,85,32,117,13.77952756,1.139234328,204,2.309630167,15
Oak_Island,34,25,59,0.142,-0.847711656,140,2.146128036,13
Pole_Island,27,17,44,0.072874494,-1.137424448,130,2.113943352,1
Posey_Island,44,36,80,0.441295547,-0.355270455,160,2.204119983,1
Reef_Island,78,28,106,7.542,0.877486528,440,2.643452676,13
Reeflet_Island,23,21,44,0.0687,-1.163043263,15,1.176091259,14
Rim_Island,25,12,37,0.20242915,-0.693726949,160,2.204119983,4
Ripple_Island,42,17,59,1.295546559,0.112453025,220,2.342422681,1
Rum_Island,44,17,61,0.48582996,-0.313515707,300,2.477121255,4
Saddlebag_Island,112,48,160,7.8996,0.897605101,1100,3.041392685,7
Secar_Rock,7,3,10,0.461538462,-0.335792102,270,2.431363764,3
Sentinel_Island,67,33,100,6.607287449,0.820023201,320,2.505149978,1
Shag_Reef,2,0,2,0.008097166,-2.091666958,240,2.380211242,1
Skull_Island,62,39,101,1.032388664,0.013843227,80,1.903089987,13
Small_Island_near_Charles,14,4,18,0.089068826,-1.050274272,130,2.113943352,9
Smaller_Island_near_Charles,3,0,3,0.024291498,-1.614545703,160,2.204119983,9
Smallest_unnamed_island_by_Long_Island,3,6,9,0.008097166,-2.091666958,30,1.477121255,8
Swirl_Rock_East,1,0,1,0.145748988,-0.836394452,550,2.740362689,9
Swirl_Rock_Central,16,4,20,0.48582996,-0.313515707,430,2.633468456,9
Swirl_Rock_West,4,0,4,0.04048583,-1.392696953,400,2.602059991,9
Turn_Island,105,49,154,13.83858268,1.141091613,300,2.477121255,17
Turnlet_Island,24,20,44,0.1112,-0.953895213,70,1.84509804,20
Unnamed_1_near_Long_Island,32,20,52,0.352226721,-0.453177701,20,1.301029996,1
Unnamed_2_near_Long_Island,24,13,37,0.647773279,-0.188576971,100,2,8
Unnamed_3_near_Long_Island,10,6,16,0.222672065,-0.652334264,30,1.477121255,21
Unnamed_72_Island,22,17,39,0.105263158,-0.977723605,80,1.903089987,18
Unnamed_W_of_Castle,5,1,6,0.117408907,-0.930298955,120,2.079181246,1
Victim_Island,69,31,100,1.643724696,0.21582908,110,2.041392685,13
Willow_Island,61,20,81,3.95,0.596597096,278,2.444044796,2
Yellow_Island,,,,4.4515421,0.648510485,4.4515421,0.648510485,NA
